,Estudiantes Mujeres,Egresados Mujeres,Año,Carrera,Reinscriptos Mujeres,Título,Egresados Varones,Unidad Académica,Total de Nuevos Inscriptos,Total de Estudiantes,Total de Egresados,Institución,Total de Reinscriptos,Estudiantes Varones,Nivel de la Oferta,Nuevos Inscriptos Varones,Reinscriptos Varones,Nuevas Inscriptas Mujeres,Gestión,Tipo de Institución
,,,2011,"Computación, Sistemas e Informática",,Analista de Sistemas,2,Facultad de Matemática Aplicada,,,2,Universidad Católica de Santiago del Estero,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,,2011,"Computación, Sistemas e Informática",,Analista de Sistemas,2,Rectorado,,,2,Universidad Nacional de Luján,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,28,,2011,"Computación, Sistemas e Informática",18,Analista de Sistemas,,UNIDAD ACADEMICA CALETA OLIVIA,30,92,,Universidad Nacional de la Patagonia Austral,62,64,Pregrado            ,20,44,10,Estatal                                           ,Universidad                                       
,38,,2011,"Computación, Sistemas e Informática",29,Analista de Sistemas,,UNIDAD ACADEMICA RIO GALLEGOS,32,119,,Universidad Nacional de la Patagonia Austral,87,81,Pregrado            ,23,58,9,Estatal                                           ,Universidad                                       
,9,,2011,"Computación, Sistemas e Informática",6,Analista de Sistemas,,UNIDAD ACADEMICA RIO TURBIO,18,34,,Universidad Nacional de la Patagonia Austral,16,25,Pregrado            ,15,10,3,Estatal                                           ,Universidad                                       
,1,,2011,"Computación, Sistemas e Informática",1,Analista de Sistemas,,Facultad Regional Córdoba,,1,,Universidad Tecnológica Nacional,1,,Grado               ,,,,Estatal                                           ,Universidad                                       
,1,,2011,"Computación, Sistemas e Informática",1,Analista de Sistemas,1,Facultad Regional Rosario,,2,1,Universidad Tecnológica Nacional,2,1,Grado               ,,1,,Estatal                                           ,Universidad                                       
,1,,2011,"Computación, Sistemas e Informática",1,Analista de Sistemas,,Facultad Regional Santa Fé,,1,,Universidad Tecnológica Nacional,1,,Grado               ,,,,Estatal                                           ,Universidad                                       
,2,,2011,"Computación, Sistemas e Informática",2,Analista de Sistemas,,Facultad Regional Tucumán,,7,,Universidad Tecnológica Nacional,7,5,Grado               ,,5,,Estatal                                           ,Universidad                                       
,,,2011,"Computación, Sistemas e Informática",,Analista de Sistemas,,Facultad de Ingeniería,,2,,Universidad de Mendoza,2,2,Pregrado            ,,2,,Privada                                           ,Universidad                                       
,,2,2011,"Computación, Sistemas e Informática",,Analista de Sistemas,,"Facultad de Informática, Ciencias de la Comunicación y Técnicas Especiales",,,2,Universidad de Morón,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,,2011,"Computación, Sistemas e Informática",,Analista de Sistemas,3,Facultad de Ingeniería,,,3,Universidad de la Marina Mercante,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,9,2011,"Computación, Sistemas e Informática",,Analista de Sistemas - MD,29,Facultad de Ciencias de la Administración,,,38,Instituto Universitario Aeronáutico,,,Pregrado            ,,,,Estatal                                           ,Instituto Universitario                           
,,1,2011,"Computación, Sistemas e Informática",,Analista de Sistemas,,Facultad de Ingeniería,,,1,Instituto Universitario Aeronáutico,,,Pregrado            ,,,,Estatal                                           ,Instituto Universitario                           
,,1,2011,Ingeniería en Sistemas,,Analista de Sistemas Informáticos,1,Facultad de Ingeniería,,,2,Instituto Universitario Aeronáutico,,,Pregrado            ,,,,Estatal                                           ,Instituto Universitario                           
,,1,2012,"Computación, Sistemas e Informática",,Analista de Sistemas,4,Facultad de Química e Ingeniería Fray Rogelio Bacon,,,5,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,7,2012,Ingeniería en Sistemas,,Analista de Sistemas Informáticos,90,Facultad de Tecnología Informática,,,97,Universidad Abierta Interamericana,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,10,2012,Ingeniería en Sistemas,,Analista de Sistemas Informáticos,39,Facultad de Tecnología Informática - Rosario,,,49,Universidad Abierta Interamericana,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,11,2012,"Computación, Sistemas e Informática",,Analista de Sistemas,31,Escuela de Sistemas,,,42,Universidad Argentina John F. Kennedy,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,1,2012,"Computación, Sistemas e Informática",,Analista de Sistemas,1,ANEXO MAR DEL PLATA,,,2,Universidad Atlántida Argentina,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,,,2012,"Computación, Sistemas e Informática",,Analista de Sistemas,3,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,,,3,Universidad Atlántida Argentina,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,49,9,2012,"Computación, Sistemas e Informática",30,Analista de Sistemas,33,Facultad de Ciencia y Tecnología,167,380,42,Universidad Autónoma de Entre Ríos,213,331,Pregrado            ,148,183,19,Estatal                                           ,Universidad                                       
,,1,2012,Ingeniería en Sistemas,,Analista de Sistemas Informáticos,,Vicerrectorado de Asuntos Académicos,,,1,Universidad Blas Pascal,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,22,1,2012,"Computación, Sistemas e Informática",16,Analista de Sistemas,1,UNIDAD ACADEMICA CALETA OLIVIA,24,77,2,Universidad Nacional de la Patagonia Austral,53,55,Pregrado            ,18,37,6,Estatal                                           ,Universidad                                       
,40,1,2012,"Computación, Sistemas e Informática",30,Analista de Sistemas,,UNIDAD ACADEMICA RIO GALLEGOS,31,112,1,Universidad Nacional de la Patagonia Austral,81,72,Pregrado            ,21,51,10,Estatal                                           ,Universidad                                       
,5,,2012,"Computación, Sistemas e Informática",4,Analista de Sistemas,1,UNIDAD ACADEMICA RIO TURBIO,12,31,1,Universidad Nacional de la Patagonia Austral,19,26,Pregrado            ,11,15,1,Estatal                                           ,Universidad                                       
,1,,2012,"Computación, Sistemas e Informática",1,Analista de Sistemas,,Facultad Regional Rosario,,2,,Universidad Tecnológica Nacional,2,1,Grado               ,,1,,Estatal                                           ,Universidad                                       
